lambda_nm,Rs,Ts,Rp,Tp
415.584,0.185089,0.00347933,0.176003,0.00342408
415.045,0.182749,0.00331955,0.173944,0.00327193
414.508,0.180172,0.00316982,0.171657,0.00312894
413.972,0.177405,0.00302893,0.169182,0.00299402
413.437,0.174505,0.00289572,0.166572,0.00286614
412.903,0.17147,0.00272113,0.163814,0.00269674
412.371,0.168447,0.00254174,0.161049,0.00252206
411.84,0.165534,0.00237371,0.158372,0.00235818
411.311,0.162784,0.002216,0.155832,0.00220413
410.783,0.160237,0.00206781,0.153464,0.0020592
410.256,0.157918,0.00192581,0.151294,0.00192007
409.731,0.155847,0.00178965,0.149339,0.00178644
409.207,0.154012,0.00166235,0.147586,0.00166131
408.685,0.152386,0.00154355,0.146013,0.00154435
408.163,0.150933,0.00143293,0.144585,0.00143524
407.643,0.149628,0.00133617,0.143282,0.00133973
407.125,0.148466,0.0012591,0.142101,0.0012637
406.607,0.147367,0.00118667,0.140964,0.00119208
406.091,0.146284,0.00111876,0.139833,0.00112477
405.577,0.145181,0.00105518,0.138674,0.0010616
405.063,0.144026,0.000988252,0.137458,0.000994865
404.551,0.142788,0.000907135,0.136157,0.000913659
404.04,0.141495,0.000833148,0.134801,0.000839481
403.531,0.140166,0.000765566,0.13341,0.000771637
403.023,0.138827,0.000703738,0.132012,0.000709505
402.516,0.137506,0.000647089,0.130633,0.000652527
402.01,0.13625,0.000580067,0.129323,0.000585047
401.506,0.135077,0.000519656,0.128102,0.0005242
401.003,0.134007,0.00046559,0.127002,0.000469737
400.501,0.133047,0.000417179,0.126052,0.000420986
400,0.132151,0.000373818,0.125449,0.000377524
