wavelength_m,bottom_cd_m,sidewall_angle_deg,R,T
9.799999999999999345e-07,1.999999999999999909e-07,6.203447901691835575e+00,2.452071163814369958e-01,7.547928836185689994e-01
9.999999999999999547e-07,1.999999999999999909e-07,6.203447901691835575e+00,3.635955418624662316e-01,6.364044581375352116e-01
1.019999999999999975e-06,1.999999999999999909e-07,6.203447901691835575e+00,6.291740753389025720e-01,3.708259246610934312e-01
1.039999999999999995e-06,1.999999999999999909e-07,6.203447901691835575e+00,9.010132819637273194e-01,9.898671803627367982e-02
1.060000000000000016e-06,1.999999999999999909e-07,6.203447901691835575e+00,9.988739459016685585e-01,1.126054098331553000e-03
1.080000000000000036e-06,1.999999999999999909e-07,6.203447901691835575e+00,9.706176450771351050e-01,2.938235492286322970e-02
1.100000000000000056e-06,1.999999999999999909e-07,6.203447901691835575e+00,9.008102335688640272e-01,9.918976643113405767e-02
1.119999999999999865e-06,1.999999999999999909e-07,6.203447901691835575e+00,8.214305100997363329e-01,1.785694899002650549e-01
1.140000000000000097e-06,1.999999999999999909e-07,6.203447901691835575e+00,7.385467928368627533e-01,2.614532071631359145e-01
1.159999999999999905e-06,1.999999999999999909e-07,6.203447901691835575e+00,6.508418764713602700e-01,3.491581235286392859e-01
1.179999999999999925e-06,1.999999999999999909e-07,6.203447901691835575e+00,5.558649938485482611e-01,4.441350061514492409e-01
1.199999999999999946e-06,1.999999999999999909e-07,6.203447901691835575e+00,4.523499744981296367e-01,5.476500255018672547e-01
7.999999999999999638e-07,9.999999999999999547e-08,1.226477372789240050e+01,6.360048102223792021e-01,3.639951897776208534e-01
8.199999999999999841e-07,9.999999999999999547e-08,1.226477372789240050e+01,7.627837522201483811e-01,2.372162477798518965e-01
8.400000000000000043e-07,9.999999999999999547e-08,1.226477372789240050e+01,9.205668011164485076e-01,7.943319888355085401e-02
8.600000000000000246e-07,9.999999999999999547e-08,1.226477372789240050e+01,9.953865335128834202e-01,4.613466487117525230e-03
8.799999999999999390e-07,9.999999999999999547e-08,1.226477372789240050e+01,7.708215464043806087e-01,2.291784535956206958e-01
8.999999999999999593e-07,9.999999999999999547e-08,1.226477372789240050e+01,4.665357300111127592e-01,5.334642699888925144e-01
9.199999999999999795e-07,9.999999999999999547e-08,1.226477372789240050e+01,3.198602021190632971e-01,6.801397978809367029e-01
9.399999999999999998e-07,9.999999999999999547e-08,1.226477372789240050e+01,2.978567139130613439e-01,7.021432860869393222e-01
9.599999999999999142e-07,9.999999999999999547e-08,1.226477372789240050e+01,3.825081739886349030e-01,6.174918260113667623e-01
9.799999999999999345e-07,9.999999999999999547e-08,1.226477372789240050e+01,5.906561756277519670e-01,4.093438243722455350e-01
9.999999999999999547e-07,9.999999999999999547e-08,1.226477372789240050e+01,8.542821487651416357e-01,1.457178512348576982e-01
1.019999999999999975e-06,9.999999999999999547e-08,1.226477372789240050e+01,9.942479609363643611e-01,5.752039063639413641e-03
1.039999999999999995e-06,9.999999999999999547e-08,1.226477372789240050e+01,9.645418576731167315e-01,3.545814232688182521e-02
1.060000000000000016e-06,9.999999999999999547e-08,1.226477372789240050e+01,8.503092662833235948e-01,1.496907337166763496e-01
1.080000000000000036e-06,9.999999999999999547e-08,1.226477372789240050e+01,7.128475651332073504e-01,2.871524348667945370e-01
1.100000000000000056e-06,9.999999999999999547e-08,1.226477372789240050e+01,5.732025171580956702e-01,4.267974828419055511e-01
1.119999999999999865e-06,9.999999999999999547e-08,1.226477372789240050e+01,4.370526709650475738e-01,5.629473290349534809e-01
1.140000000000000097e-06,9.999999999999999547e-08,1.226477372789240050e+01,3.080654684472721172e-01,6.919345315527274387e-01
1.159999999999999905e-06,9.999999999999999547e-08,1.226477372789240050e+01,1.923423906636618774e-01,8.076576093363370124e-01
1.179999999999999925e-06,9.999999999999999547e-08,1.226477372789240050e+01,9.855778635938985954e-02,9.014422136406110564e-01
1.199999999999999946e-06,9.999999999999999547e-08,1.226477372789240050e+01,3.539391775631887949e-02,9.646060822436799409e-01
