wavelength_nm,R,T,A
6.015037593984961859e+02,2.558304372092244927e-01,1.812811454619671706e-02,7.260414482445788353e-01
6.025062656641603098e+02,2.615887510406068595e-01,1.895692280674115757e-02,7.194543261526520350e-01
6.035087719298245474e+02,2.777244264532320872e-01,1.926077987716644235e-02,7.030147936696014010e-01
6.045112781954886714e+02,2.895577677928238280e-01,1.971055163829288706e-02,6.907316805688832329e-01
6.055137844611529090e+02,2.873862241147969177e-01,2.053878588490696405e-02,6.920749900002961530e-01
6.065162907268170329e+02,2.731794011689450685e-01,2.172710017756823014e-02,7.050934986534868054e-01
6.075187969924811568e+02,2.596312011735069647e-01,2.287481971736790229e-02,7.174939791091251573e-01
6.085213032581452808e+02,2.599431697950760345e-01,2.380548566917975797e-02,7.162513445357442388e-01
6.095238095238095184e+02,2.745023430923092533e-01,2.433388119327663246e-02,7.011637757144141281e-01
6.105263157894736423e+02,2.899585963717528636e-01,2.488965080639874219e-02,6.851517528218484809e-01
6.115288220551377663e+02,2.937521892918368849e-01,2.593134336174313451e-02,6.803164673464199286e-01
6.125313283208020039e+02,2.833425009176794296e-01,2.734157506425966000e-02,6.893159240180608549e-01
6.135338345864661278e+02,2.682057837485710694e-01,2.855832803158074584e-02,7.032358882198481709e-01
6.145363408521302517e+02,2.644567966033150030e-01,2.944739780668316834e-02,7.060958055900018460e-01
6.155388471177943757e+02,2.780990480288884070e-01,2.984044926237028328e-02,6.920605027087413097e-01
6.165413533834586133e+02,2.985791945653469281e-01,3.023132415653465369e-02,6.711894812781185049e-01
6.175438596491228509e+02,3.100936876420615773e-01,3.138449240170688298e-02,6.585218199562314911e-01
6.185463659147869748e+02,3.037634513538750025e-01,3.380328582152875017e-02,6.624332628245963583e-01
6.195488721804510988e+02,2.828485554831813298e-01,3.745152140823778536e-02,6.796999231085808502e-01
6.205513784461152227e+02,2.627643479318303998e-01,4.061315015275802215e-02,6.966225019154115294e-01
6.215538847117794603e+02,2.603106998531031779e-01,4.240406391409886483e-02,6.972852362327979225e-01
6.225563909774435842e+02,2.735222619316432513e-01,4.312712550991068539e-02,6.833506125584459800e-01
6.235588972431077082e+02,2.879647596524239073e-01,4.323888457389834378e-02,6.687963557736776865e-01
6.245614035087719458e+02,2.914371907934957817e-01,4.348638821139517302e-02,6.650764209951089967e-01
6.255639097744360697e+02,2.799732445370163858e-01,4.440263702312913230e-02,6.756241184398543709e-01
6.265664160401001936e+02,2.615115162530344817e-01,4.614388369425806435e-02,6.923446000527074817e-01
6.275689223057643176e+02,2.501026533780882910e-01,4.822389942077447145e-02,7.016734472011372237e-01
6.285714285714285552e+02,2.557097441840788243e-01,4.848618938371922898e-02,6.958040664322020508e-01
6.295739348370926791e+02,2.750962166853209157e-01,4.719952293686555805e-02,6.777042603778135055e-01
6.305764411027569167e+02,2.947593189656766977e-01,4.547960693495388396e-02,6.597610740993693490e-01
6.315789473684210407e+02,3.005514711955869500e-01,4.478120510892688588e-02,6.546673236954860808e-01
6.325814536340851646e+02,2.853222386833422219e-01,4.642911679817177811e-02,6.682486445184859791e-01
6.335839598997492885e+02,2.548067888786385571e-01,4.835980965776041224e-02,6.968334014636010654e-01
6.345864661654135261e+02,2.327634195344666090e-01,4.956393964568421573e-02,7.176726408198492724e-01
6.355889724310776501e+02,2.393673037861429320e-01,4.827974532207249952e-02,7.123529508917846309e-01
