lambda_nm,Rs,Ts,Rp,Tp
478.326,0.342548,0.00282964,0.317704,0.00189802
477.612,0.342063,0.00287788,0.317179,0.00201483
476.9,0.341511,0.00294005,0.31677,0.00214074
476.19,0.338697,0.00242223,0.315518,0.00175181
475.483,0.336357,0.00198803,0.314745,0.0014245
474.777,0.334424,0.00162487,0.314387,0.00115164
474.074,0.332817,0.00132279,0.314371,0.000926529
473.373,0.33145,0.00107332,0.314621,0.00074273
472.674,0.331158,0.00100779,0.315484,0.000704405
471.976,0.331223,0.000991568,0.316639,0.00070381
471.281,0.331314,0.000973843,0.317897,0.000700893
470.588,0.331403,0.000954986,0.319198,0.000696388
469.897,0.331463,0.000935509,0.320475,0.000691148
469.208,0.331105,0.000867339,0.321426,0.00064594
468.521,0.330415,0.000771648,0.32202,0.000578177
467.836,0.329692,0.000686491,0.322395,0.000519219
467.153,0.32897,0.000610433,0.322532,0.000467843
466.472,0.328288,0.000542188,0.322426,0.000422878
465.793,0.327947,0.000506622,0.322287,0.000405833
465.116,0.327982,0.000503733,0.322133,0.000418443
464.441,0.328079,0.000499981,0.321717,0.000432259
463.768,0.328243,0.00049513,0.321069,0.000447079
463.097,0.328467,0.000488964,0.320256,0.00046252
462.428,0.32871,0.000479616,0.31938,0.000476018
461.76,0.328903,0.000463984,0.318577,0.000483003
461.095,0.329038,0.000447248,0.318007,0.000488058
460.432,0.329062,0.00042972,0.317744,0.000491174
459.77,0.32893,0.000411827,0.3178,0.000492431
459.11,0.328606,0.000393203,0.318183,0.000490602
458.453,0.328051,0.000370087,0.318928,0.000479816
457.797,0.327313,0.000348585,0.320073,0.000466198
457.143,0.326426,0.000328932,0.321615,0.000449912
456.491,0.325452,0.000311167,0.323479,0.000432151
455.84,0.324483,0.000295116,0.325528,0.000415102
455.192,0.323624,0.00027798,0.327589,0.000398369
454.545,0.323017,0.000261677,0.329436,0.000386687
453.901,0.322769,0.000245718,0.330893,0.000380324
453.258,0.32294,0.000229529,0.331858,0.000377954
452.617,0.323526,0.000212746,0.332305,0.00037765
451.977,0.324413,0.00017765,0.331974,0.000346469
451.34,0.325471,0.000143404,0.33124,0.000310669
450.704,0.326546,0.000114353,0.330279,0.000277242
450.07,0.327508,9.02159e-05,0.329168,0.000246279
449.438,0.328269,7.05447e-05,0.327962,0.000217937
448.808,0.328876,5.93526e-05,0.326857,0.000207351
448.179,0.329265,5.21834e-05,0.325808,0.000206007
447.552,0.329394,4.57448e-05,0.324825,0.000204182
446.927,0.329315,4.00239e-05,0.324062,0.000201725
446.304,0.329113,3.49609e-05,0.323698,0.000198304
445.682,0.328904,2.85764e-05,0.323879,0.000183113
445.063,0.328831,2.18004e-05,0.324708,0.000159069
444.444,0.328958,1.64383e-05,0.326138,0.000137281
443.828,0.329299,1.22191e-05,0.327967,0.000118179
443.213,0.329827,8.93676e-06,0.329942,0.000102
442.6,0.330492,6.54726e-06,0.331898,9.01061e-05
441.989,0.331245,4.91249e-06,0.333754,8.31099e-05
441.379,0.331991,3.64179e-06,0.335316,7.74498e-05
440.771,0.332673,2.67791e-06,0.336512,7.28868e-05
440.165,0.33326,1.96418e-06,0.337274,6.91565e-05
439.56,0.33376,1.41331e-06,0.337522,6.50468e-05
438.957,0.33421,9.48599e-07,0.337185,5.84519e-05
438.356,0.334638,6.49465e-07,0.336428,5.24414e-05
437.756,0.335074,4.59193e-07,0.335409,4.68736e-05
437.158,0.335539,3.38162e-07,0.334321,4.17091e-05
436.562,0.336036,2.62717e-07,0.333353,3.72318e-05
435.967,0.336544,2.49747e-07,0.332659,3.69478e-05
435.374,0.337069,2.3788e-07,0.332274,3.65668e-05
434.783,0.337596,2.23846e-07,0.332271,3.61086e-05
434.193,0.338111,2.05862e-07,0.332665,3.55824e-05
433.604,0.338608,1.8343e-07,0.333415,3.49864e-05
433.018,0.339138,1.4444e-07,0.334498,3.23108e-05
432.432,0.339669,1.06506e-07,0.33578,2.93561e-05
431.849,0.340201,7.40831e-08,0.337177,2.65707e-05
431.267,0.340736,4.8037e-08,0.338634,2.39531e-05
430.686,0.341274,2.87506e-08,0.340101,2.15069e-05
430.108,0.341819,1.59502e-08,0.34152,1.92372e-05
429.53,0.342364,9.00528e-09,0.34279,1.71607e-05
428.954,0.342904,6.79758e-09,0.343787,1.52936e-05
428.38,0.343439,7.95314e-09,0.344395,1.36438e-05
427.807,0.343972,1.10892e-08,0.344547,1.22051e-05
427.236,0.344525,1.51179e-08,0.344269,1.09808e-05
426.667,0.345102,1.91223e-08,0.343649,9.93334e-06
426.099,0.345676,2.21888e-08,0.342842,8.99143e-06
425.532,0.346244,2.38988e-08,0.342065,8.12004e-06
424.967,0.346808,2.41623e-08,0.341534,7.29446e-06
424.403,0.347374,2.25661e-08,0.341449,6.3325e-06
423.841,0.347949,1.91741e-08,0.341939,5.18775e-06
423.28,0.348522,1.56222e-08,0.34293,4.22145e-06
422.721,0.349093,1.22623e-08,0.344276,3.42403e-06
422.164,0.349662,9.29777e-09,0.345776,2.77987e-06
421.607,0.350237,6.80784e-09,0.347252,2.2676e-06
421.053,0.350845,4.77655e-09,0.348606,1.86443e-06
420.499,0.351453,3.21014e-09,0.349718,1.5436e-06
419.948,0.352062,2.05215e-09,0.350575,1.2858e-06
419.397,0.352673,1.23753e-09,0.3512,1.07618e-06
418.848,0.353291,7.01604e-10,0.351638,9.07308e-07
418.301,0.353943,3.81347e-10,0.351971,7.95758e-07
417.755,0.354598,2.17682e-10,0.352198,6.98814e-07
417.21,0.355254,1.6629e-10,0.352375,6.13944e-07
416.667,0.355912,1.8403e-10,0.352558,5.39312e-07
416.125,0.356572,2.33524e-10,0.352801,4.7361e-07
415.584,0.357267,2.82432e-10,0.353185,4.05223e-07
415.045,0.357963,3.21296e-10,0.353711,3.46529e-07
414.508,0.358659,3.60614e-10,0.354386,2.96858e-07
413.972,0.35935,4.30225e-10,0.3552,2.55032e-07
413.437,0.360035,5.74477e-10,0.356126,2.19926e-07
412.903,0.360752,8.06258e-10,0.357168,1.80798e-07
412.371,0.361475,1.17776e-09,0.35823,1.46628e-07
411.84,0.362195,1.7207e-09,0.35923,1.19324e-07
411.311,0.362916,2.43734e-09,0.360111,9.72952e-08
410.783,0.36364,3.31323e-09,0.360837,7.93697e-08
410.256,0.364394,4.34968e-09,0.361427,6.44132e-08
409.731,0.365178,5.52227e-09,0.361915,5.19657e-08
409.207,0.365954,6.75191e-09,0.362334,4.19395e-08
408.685,0.366714,7.98775e-09,0.362754,3.3909e-08
408.163,0.367451,9.1814e-09,0.363229,2.75057e-08
407.643,0.368189,1.04802e-08,0.363816,2.2693e-08
407.125,0.368964,1.21721e-08,0.364551,1.93693e-08
406.607,0.369724,1.381e-08,0.365358,1.65947e-08
406.091,0.370485,1.5349e-08,0.366163,1.42481e-08
405.577,0.371281,1.67744e-08,0.366798,1.32786e-08
405.063,0.372138,1.78039e-08,0.36819,1.30945e-08
404.551,0.373039,1.76521e-08,0.369168,1.07767e-08
404.04,0.373995,1.72819e-08,0.369985,8.74075e-09
403.531,0.375004,1.67352e-08,0.370693,7.06306e-09
403.023,0.376049,1.60493e-08,0.371344,5.70716e-09
402.516,0.377106,1.52579e-08,0.371986,4.61924e-09
402.01,0.378268,1.37124e-08,0.372768,3.49333e-09
401.506,0.379382,1.22059e-08,0.373615,2.64676e-09
401.003,0.380419,1.07851e-08,0.374526,2.01345e-09
400.501,0.381361,9.4653e-09,0.375486,1.53738e-09
400,0.382206,8.25517e-09,0.376468,1.17772e-09
