

lambda(m), Y
4.30686e-07, 0.438827
4.30108e-07, 0.439478
4.2953e-07, 0.440133
4.28954e-07, 0.440792
4.2838e-07, 0.441455
4.27807e-07, 0.442121
4.27236e-07, 0.442792
4.26667e-07, 0.443466
4.26099e-07, 0.444145
4.25532e-07, 0.444828
4.24967e-07, 0.445514
4.24403e-07, 0.446205
4.23841e-07, 0.4469
4.2328e-07, 0.447599
4.22721e-07, 0.448302
4.22164e-07, 0.44901
4.21607e-07, 0.449722
4.21053e-07, 0.450438
4.20499e-07, 0.451159
4.19948e-07, 0.451884
4.19397e-07, 0.452614
4.18848e-07, 0.453348
4.18301e-07, 0.454086
4.17755e-07, 0.45483
4.1721e-07, 0.455577
4.16667e-07, 0.45633
4.16125e-07, 0.457087
4.15584e-07, 0.457849
4.15045e-07, 0.458616
4.14508e-07, 0.459388
4.13972e-07, 0.460165
4.13437e-07, 0.460946
4.12903e-07, 0.461733
4.12371e-07, 0.462525
4.1184e-07, 0.463321
4.11311e-07, 0.464123
4.10783e-07, 0.464931
4.10256e-07, 0.465743
4.09731e-07, 0.466561
4.09207e-07, 0.467384
4.08685e-07, 0.468213
4.08163e-07, 0.469047
4.07643e-07, 0.469886
4.07125e-07, 0.470731
4.06607e-07, 0.471582
4.06091e-07, 0.472439
4.05577e-07, 0.473301
4.05063e-07, 0.474169
4.04551e-07, 0.475043
4.0404e-07, 0.475923
4.03531e-07, 0.476809
4.03023e-07, 0.477701
4.02516e-07, 0.4786
4.0201e-07, 0.479504
4.01506e-07, 0.480415
4.01003e-07, 0.481332
4.00501e-07, 0.482255
4e-07, 0.483185



lambda(m), Y
8e-07, 0.108732
7.98005e-07, 0.102198
7.9602e-07, 0.0893224
7.94045e-07, 0.0999348
7.92079e-07, 0.0979375
7.90123e-07, 0.0843319
7.88177e-07, 0.0918069
7.86241e-07, 0.0930621
7.84314e-07, 0.0797741
7.82396e-07, 0.0844364
7.80488e-07, 0.0877342
7.78589e-07, 0.0754609
7.76699e-07, 0.077796
7.74818e-07, 0.0821526
7.72947e-07, 0.0712674
7.71084e-07, 0.071804
7.69231e-07, 0.0765053
7.67386e-07, 0.067123
7.6555e-07, 0.0663625
7.63723e-07, 0.0709421
7.61905e-07, 0.0629996
7.60095e-07, 0.0613789
7.58294e-07, 0.0655667
7.56501e-07, 0.0588993
7.54717e-07, 0.0567748
7.52941e-07, 0.0604415
7.51174e-07, 0.0548426
7.49415e-07, 0.0524889
7.47664e-07, 0.0555971
7.45921e-07, 0.0508583
7.44186e-07, 0.0484758
7.42459e-07, 0.051042
7.40741e-07, 0.0469774
7.3903e-07, 0.044704
7.37327e-07, 0.0467714
7.35632e-07, 0.043228
7.33945e-07, 0.0411518
7.32265e-07, 0.0427735
7.30594e-07, 0.0396338
7.28929e-07, 0.0378049
7.27273e-07, 0.0390333
7.25624e-07, 0.0362129
7.23982e-07, 0.0346537
7.22348e-07, 0.0355353
7.20721e-07, 0.0329785
7.19101e-07, 0.0316909
7.17489e-07, 0.0322652
7.15884e-07, 0.0299392
7.14286e-07, 0.02891
7.12695e-07, 0.0292103
7.11111e-07, 0.0270997
7.09534e-07, 0.0263047
7.07965e-07, 0.0263601
7.06402e-07, 0.0244615
7.04846e-07, 0.0238677
7.03297e-07, 0.0237063
7.01754e-07, 0.0220229
7.00219e-07, 0.0215912
6.9869e-07, 0.0212428
6.97168e-07, 0.0197795
6.95652e-07, 0.0194668
6.94143e-07, 0.0189651
6.92641e-07, 0.0177242
6.91145e-07, 0.0174861
6.89655e-07, 0.0168698
6.88172e-07, 0.0158475
6.86695e-07, 0.0156414
6.85225e-07, 0.0149538
6.83761e-07, 0.0141376
6.82303e-07, 0.0139267
6.80851e-07, 0.0132134
6.79406e-07, 0.012581
6.77966e-07, 0.0123382
6.76533e-07, 0.0116429
6.75105e-07, 0.0111631
6.73684e-07, 0.0108742
6.72269e-07, 0.0102344
6.7086e-07, 0.00986985
6.69456e-07, 0.00953482
6.68058e-07, 0.00897705
6.66667e-07, 0.00868861
6.65281e-07, 0.00832046
6.639e-07, 0.00785758
6.62526e-07, 0.00760956
6.61157e-07, 0.00723054
6.59794e-07, 0.00686094
6.58436e-07, 0.00662638
6.57084e-07, 0.00626184
6.55738e-07, 0.0059718
6.54397e-07, 0.00573598
6.53061e-07, 0.00540771
6.51731e-07, 0.00517619
6.50407e-07, 0.00493719
6.49087e-07, 0.00465822
6.47773e-07, 0.00446304
6.46465e-07, 0.00422874
6.45161e-07, 0.00400126
6.43863e-07, 0.0038249
6.4257e-07, 0.00360744
6.41283e-07, 0.00342426
6.4e-07, 0.00325755
6.38723e-07, 0.0030672
6.3745e-07, 0.00291617
6.36183e-07, 0.00275835
6.34921e-07, 0.00259942
6.33663e-07, 0.0024687
6.32411e-07, 0.00232427
6.31164e-07, 0.00219443
6.29921e-07, 0.00207646
6.28684e-07, 0.00195053
6.27451e-07, 0.0018432
6.26223e-07, 0.00173586
6.25e-07, 0.00163053
6.23782e-07, 0.00153871
6.22568e-07, 0.00144345
6.21359e-07, 0.00135688
6.20155e-07, 0.00127608
6.18956e-07, 0.00119477
6.17761e-07, 0.00112281
6.1657e-07, 0.00105171
6.15385e-07, 0.000984371
6.14203e-07, 0.000923054
6.13027e-07, 0.000862046
6.11855e-07, 0.000806644
6.10687e-07, 0.000753768
6.09524e-07, 0.000702982
6.08365e-07, 0.000656773
6.07211e-07, 0.00061173
6.06061e-07, 0.000570103
6.04915e-07, 0.000531061
6.03774e-07, 0.000493631
6.02637e-07, 0.000459374
6.01504e-07, 0.000426551
6.00375e-07, 0.000395998
5.99251e-07, 0.000367542
5.98131e-07, 0.000340473
5.97015e-07, 0.000315577
5.95903e-07, 0.000292004
5.94796e-07, 0.000270053
5.93692e-07, 0.000249664
5.92593e-07, 0.000230437
5.91497e-07, 0.000212715
5.90406e-07, 0.000196073
5.89319e-07, 0.00018062
5.88235e-07, 0.000166292
5.87156e-07, 0.000152889
5.86081e-07, 0.000140536
5.85009e-07, 0.00012901
5.83942e-07, 0.000118352
5.82878e-07, 0.00010849
5.81818e-07, 9.93335e-05
5.80762e-07, 9.09049e-05
5.7971e-07, 8.30876e-05
5.78662e-07, 7.58911e-05
5.77617e-07, 6.92511e-05
5.76577e-07, 6.31271e-05
5.7554e-07, 5.75031e-05
5.74506e-07, 5.23183e-05
5.73477e-07, 4.75653e-05
5.72451e-07, 4.31973e-05
5.71429e-07, 3.91932e-05
5.7041e-07, 3.55274e-05
5.69395e-07, 3.21688e-05
5.68384e-07, 2.91024e-05
5.67376e-07, 2.62983e-05
5.66372e-07, 2.3742e-05
5.65371e-07, 2.14111e-05
5.64374e-07, 1.92886e-05
5.6338e-07, 1.73589e-05
5.6239e-07, 1.56045e-05
5.61404e-07, 1.40131e-05
5.6042e-07, 1.25695e-05
5.59441e-07, 1.12625e-05
5.58464e-07, 1.008e-05
5.57491e-07, 9.01132e-06
5.56522e-07, 8.04689e-06
5.55556e-07, 7.17714e-06
5.54593e-07, 6.3941e-06
5.53633e-07, 5.68957e-06
5.52677e-07, 5.05672e-06
5.51724e-07, 4.48874e-06
5.50775e-07, 3.97971e-06
